zip;state;city;lat;lng
36303;AL;Napier Field;31.255.239;-85.412.462
36310;AL;Abbeville;31.575.479;-85.279.044
36311;AL;Ariton;31.582.996;-85.707.716
36312;AL;Ashford;311.888;-85.253.488
36314;AL;Black;3.101.318;-85.745.634
36316;AL;Chancellor;31.173.379;-85.910.897
36317;AL;Clopton;31.602.843;-85.482.308
36318;AL;Coffee Springs;31.138.758;-85.918.224
36319;AL;Columbia;31.335.235;-85.145.488
36320;AL;Cottonwood;31.098.934;-85.375.665
36322;AL;Daleville;31.281.091;-85.730.473
36323;AL;Elba;3.141.373;-86.077.728
36330;AL;Enterprise;31.340.789;-85.842.111
36340;AL;Geneva;31.041.445;-85.884.748
36343;AL;Gordon;3.110.019;-85.123.412
36344;AL;Hartford;3.108.598;-85.719.204
36345;AL;Headland;31.353.406;-85.332.277
36346;AL;Jack;31.552.392;-86.043.083
36349;AL;Malvern;31.157.528;-85.522.327
36350;AL;Midland City;3.136.716;-85.513.033
36351;AL;New Brockton;3.136.898;-85.940.386
36352;AL;Newton;31.331.064;-85.599.229
36353;AL;Newville;31.440.295;-85.328.741
36360;AL;Ozark;31.439.069;-85.643.629
36362;AL;Fort Rucker;31.348.011;-85.721.374
36370;AL;Pansey;31.131.778;-85.238.549
36373;AL;Shorterville;31.625.627;-8.514.584
36374;AL;Skipperville;31.551.588;-85.549.578
36375;AL;Slocomb;31.095.558;-85.582.954
36376;AL;Webb;31.265.618;-85.254.385
36401;AL;Evergreen;31.458.009;-86.925.771
36419;AL;Allen;31.624.266;-8.766.746
36420;AL;Andalusia;31.297.142;-86.490.468
36425;AL;Beatrice;31.727.324;-87.171.912
36426;AL;East Brewton;31.118.926;-87.067.325
36432;AL;Castleberry;31.326.113;-87.026.754
36435;AL;Coy;31.888.851;-87.392.558
36436;AL;Dickinson;31.717.167;-87.656.929
36441;AL;Flomaton;31.040.233;-87.266.365
36442;AL;Florala;31.017.194;-86.338.528
36444;AL;Franklin;31.723.815;-87.441.237
36445;AL;Frisco City;31.423.478;-87.381.744
36446;AL;Fulton;31.790.947;-87.708.065
36451;AL;Grove Hill;31.675.502;-87.763.571
36453;AL;Kinston;31.262.118;-86.069.532
36454;AL;Lenox;31.327.261;-8.719.671
36456;AL;Mc Kenzie;3.154.495;-86.735.615
36460;AL;Monroeville;3.151.533;-87.340.993
36467;AL;Opp;31.279.861;-86.257.105
36471;AL;Peterman;31.589.953;-87.259.984
36473;AL;Range;3.130.169;-87.319.739
36474;AL;Red Level;31.439.931;-8.661.209
36475;AL;Repton;31.425.569;-87.172.039
36477;AL;Samson;31.104.918;-86.067.416
36480;AL;Uriah;31.313.467;-87.570.518
36481;AL;Vredenburgh;3.173.443;-87.416.184
36482;AL;Whatley;31.639.453;-87.656.502
36483;AL;Wing;31.148.127;-8.656.119
36502;AL;Atmore;31.057.245;-87.487.347
36505;AL;Axis;31.006.817;-8.804.274
36507;AL;Bay Minette;3.086.354;-8.776.444
36509;AL;Bayou La Batre;30.407.983;-88.250.697
36510;AL;Bigbee;31.589.072;-88.165.294
36511;AL;Bon Secour;30.328.883;-87.721.355
36515;AL;Carlton;31.322.449;-87.837.793
36518;AL;Chatom;31.487.638;-88.269.887
36521;AL;Chunchula;30.991.178;-88.131.126
36522;AL;Citronelle;31.042.533;-88.254.949
36523;AL;Coden;30.418.834;-88.168.276
36524;AL;Coffeeville;3.178.428;-88.071.542
36525;AL;Creola;30.901.267;-88.017.414
36526;AL;Daphne;3.061.972;-87.889.522
36527;AL;Spanish Fort;30.695.852;-8.788.668
36528;AL;Dauphin Island;30.252.057;-88.109.644
36529;AL;Deer Park;31.184.892;-8.832.731
36530;AL;Elberta;30.394.239;-8.758.896
36532;AL;Fairhope;3.050.116;-87.883.546
36535;AL;Foley;30.400.664;-87.685.737
36538;AL;Frankville;3.164.684;-88.133.185
36539;AL;Fruitdale;31.348.843;-88.376.597
36540;AL;Gainestown;31.425.822;-87.682.176
36541;AL;Grand Bay;30.498.288;-8.832.825
36542;AL;Fort Morgan;30.268.954;-87.712.795
36544;AL;Irvington;30.480.241;-88.239.563
36545;AL;Jackson;31.513.098;-87.867.192
36548;AL;Leroy;31.491.021;-87.968.672
36549;AL;Lillian;3.039.724;-87.474.452
36550;AL;Little River;3.122.459;-87.754.796
36551;AL;Loxley;30.617.964;-8.775.624
36553;AL;Mc Intosh;31.236.108;-88.051.102
36555;AL;Magnolia Springs;30.394.497;-87.785.781
36558;AL;Millry;31.626.871;-88.355.872
36560;AL;Mount Vernon;31.097.375;-88.035.044
36561;AL;Orange Beach;30.290.596;-87.555.888
36562;AL;Perdido;3.098.058;-87.628.374
36567;AL;Robertsdale;30.561.608;-87.637.268
36569;AL;Saint Stephens;31.533.028;-88.052.094
36570;AL;Salitpa;31.654.667;-87.959.618
36571;AL;Saraland;30.833.197;-88.093.387
36572;AL;Satsuma;30.851.628;-88.053.312
36574;AL;Seminole;30.504.806;-87.465.938
36575;AL;Semmes;30.754.408;-88.266.705
36576;AL;Silverhill;30.522.237;-87.745.676
36579;AL;Stockton;3.101.293;-87.863.323
36580;AL;Summerdale;30.475.225;-87.699.183
36582;AL;Theodore;30.544.374;-88.180.748
36583;AL;Tibbie;31.373.742;-88.266.828
36584;AL;Vinegar Bend;3.125.841;-88.386.466
36585;AL;Wagarville;31.410.205;-88.070.519
36586;AL;Walker Springs;31.626.166;-87.835.355
36587;AL;Wilmer;30.813.745;-88.333.196
36602;AL;Mobile;30.688.828;-88.045.308
36603;AL;Mobile;30.692.141;-8.805.622
36604;AL;Mobile;30.681.963;-88.067.804
36605;AL;Mobile;30.634.117;-88.084.646
36606;AL;Mobile;30.672.899;-88.100.909
36607;AL;Mobile;30.697.486;-881.029
36608;AL;Mobile;3.069.636;-88.187.784
36609;AL;Mobile;30.660.527;-88.161.806
36610;AL;Prichard;30.737.846;-88.083.761
36611;AL;Chickasaw;30.766.821;-88.084.973
36612;AL;Mobile;30.751.844;-8.811.311
36613;AL;Eight Mile;30.795.074;-88.182.311
36615;AL;Brookley Field;30.631.199;-88.068.871
36617;AL;Mobile;30.714.522;-88.091.796
36618;AL;Mobile;30.732.178;-88.175.753
36619;AL;Mobile;30.592.803;-88.194.645
